popular_rank,startYear,endYear,type,orign_country,language,rating,numVotes,genres,isAdult
883,2019.0,2019.0,tvSeries,United States,English,6.5,7637.0,"Drama,Fantasy,Horror",0
886,2020.0,2022.0,tvSeries,Sweden,Turkish,8.2,14698.0,"Crime,Drama,Thriller",0
887,2019.0,2021.0,movie,Mexico,English,5.8,9753.0,"Action,Crime,Drama",0
888,2016.0,2018.0,tvSeries,United States,English,7.2,10554.0,"Comedy,Drama,Romance",0
890,2016.0,2016.0,tvMiniSeries,United Kingdom,English,7.0,7125.0,"Drama,Mystery,Thriller",0
896,2019.0,2020.0,tvSeries,Iceland,Icelandic,7.1,9647.0,"Crime,Drama,Mystery",0
899,2020.0,2022.0,tvSeries,United States,English,8.3,13295.0,"Adventure,Animation,Comedy",0
904,2020.0,2022.0,movie,United States,English,5.6,14835.0,"Comedy,Romance",0
906,2018.0,2020.0,tvSeries,United Kingdom,English,3.8,12648.0,"Action,Adventure,Fantasy",0
913,2019.0,2021.0,movie,France,English,5.7,12733.0,"Action,Crime,Drama",0
914,2018.0,2019.0,tvSeries,Russia,Mandarin,7.4,7250.0,"Drama,Sci-Fi",0
921,2017.0,2019.0,tvSeries,South Korea,Korean,8.6,6084.0,"Crime,Drama,Mystery",0
925,2018.0,2020.0,tvSeries,Japan,Japanese,8.2,5702.0,"Animation,Drama,Fantasy",0
929,2019.0,2020.0,tvSeries,Spain,Spanish,6.8,6313.0,"Crime,Drama,Mystery",0
933,2020.0,2020.0,tvSeries,United States,English,6.2,9125.0,"Adventure,Drama,Fantasy",0
938,2020.0,2022.0,movie,Canada,English,6.4,14757.0,"Adventure,Animation,Comedy",0
949,2020.0,2020.0,tvSeries,United States,English,7.7,8866.0,"Comedy,Crime,Drama",0
957,2020.0,2022.0,movie,Spain,Spanish,5.6,9900.0,"Action,Adventure,Crime",0
959,2018.0,2020.0,tvSeries,Mexico,Spanish,7.6,6972.0,"Comedy,Drama",0
967,2020.0,2022.0,movie,Poland,Polish,4.8,7834.0,"Horror,Thriller",0
969,2018.0,2020.0,movie,United Kingdom,English,5.8,10291.0,"Action,Drama,Thriller",0
972,2021.0,2022.0,movie,Sweden,Swedish,5.5,11027.0,"Drama,Horror,Thriller",0
976,2020.0,2022.0,tvSeries,United Kingdom,English,5.9,6485.0,"Action,Adventure,Family",0
979,2020.0,2022.0,tvSeries,United Kingdom,English,6.8,7086.0,"Crime,Drama,Mystery",0
981,2021.0,2022.0,movie,India,Hindi,7.0,6925.0,"Comedy,Drama",0
982,2019.0,2021.0,tvSeries,Japan,Japanese,7.8,6711.0,"Animation,Crime,Drama",0
989,2019.0,2019.0,tvSeries,United States,English,6.1,12445.0,"Drama,Horror,Sci-Fi",0
991,2018.0,2020.0,movie,United States,English,6.2,6762.0,"Comedy,Drama",0
992,2019.0,2020.0,tvSeries,United States,English,7.1,7748.0,"Comedy,Crime,Drama",0
994,2020.0,2022.0,movie,France,French,6.1,7198.0,"Action,Crime,Drama",0
996,2019.0,2021.0,tvSeries,United States,English,7.7,6221.0,Comedy,0
997,2018.0,2018.0,tvSeries,South Korea,Korean,8.1,7096.0,"Comedy,Mystery,Romance",0
999,2018.0,2020.0,tvSeries,Japan,Japanese,8.1,7506.0,"Action,Adventure,Animation",0
"1,004",2019.0,2021.0,movie,Canada,English,5.2,8243.0,"Horror,Music,Thriller",0
"1,007",2020.0,2022.0,movie,United States,English,6.3,9062.0,"Comedy,Drama,Family",0
"1,015",2020.0,2022.0,tvSeries,Austria,German,6.5,10373.0,"Crime,History,Thriller",0
"1,023",2018.0,2020.0,tvSeries,Finland,Finnish,7.2,7027.0,"Crime,Drama,Mystery",0
"1,026",2020.0,2022.0,tvMiniSeries,United Kingdom,English,7.6,12475.0,"Drama,History,Sport",0
"1,034",2013.0,2015.0,tvSeries,France,English,7.3,12434.0,"Action,Crime,Drama",0
"1,037",2018.0,2020.0,movie,Russia,Russian,6.7,10172.0,"Action,War",0
"1,040",2019.0,2021.0,tvSeries,United States,English,7.1,5802.0,Comedy,0
"1,042",2016.0,2020.0,tvSeries,United States,English,7.0,9562.0,"Comedy,Drama,Romance",0
"1,046",2016.0,2018.0,tvSeries,Belgium,French,7.6,5771.0,"Crime,Drama,Thriller",0
"1,051",2019.0,2021.0,movie,United States,English,7.2,12140.0,"Biography,Drama,History",0
"1,053",2020.0,2022.0,movie,United States,English,6.1,10490.0,"Comedy,Music",0
"1,054",2012.0,2016.0,tvSeries,United States,English,6.6,4987.0,"Action,Comedy,Drama",0
"1,056",2012.0,2014.0,tvSeries,United States,English,8.5,6196.0,"Game-Show,Reality-TV",0
"1,057",2020.0,2022.0,movie,Italy,Italian,6.8,12234.0,Drama,0
"1,060",2010.0,2010.0,tvSeries,Japan,Japanese,7.2,11424.0,"Action,Animation,Drama",0
"1,064",2018.0,2018.0,tvMiniSeries,United States,English,7.7,13817.0,"Crime,Drama",0
"1,067",2017.0,2019.0,movie,Bulgaria,English,5.4,9073.0,"Crime,Drama,Thriller",0
"1,071",2011.0,2012.0,tvSeries,Japan,English,8.3,10831.0,"Action,Animation,Drama",0
"1,072",2017.0,2020.0,tvSeries,United States,English,6.9,5164.0,Drama,0
"1,075",2020.0,2022.0,tvSeries,Turkey,Turkish,7.5,9832.0,"Comedy,Drama,Romance",0
"1,078",2020.0,2022.0,movie,Spain,Spanish,6.4,14823.0,"Adventure,Drama,Thriller",0
"1,083",2017.0,2019.0,movie,Canada,English,6.8,13656.0,Drama,0
"1,085",2016.0,2017.0,tvSeries,Japan,Japanese,7.9,7141.0,"Adventure,Animation,Comedy",0
"1,092",2017.0,2019.0,tvSeries,United Kingdom,English,7.4,9765.0,Comedy,0
"1,097",2018.0,2020.0,movie,Canada,English,5.3,11430.0,"Action,Crime",0
"1,101",2019.0,2019.0,tvSeries,United States,English,7.4,5309.0,"Animation,Comedy",0
"1,105",2017.0,2019.0,movie,United Kingdom,English,6.5,13639.0,Drama,0
"1,107",2020.0,2020.0,tvSeries,United States,English,7.5,6905.0,"Adventure,Comedy,Drama",0
"1,109",2012.0,2020.0,tvSeries,Denmark,Danish,8.1,7908.0,"Comedy,Drama",0
"1,110",1995.0,1998.0,tvSeries,Canada,English,7.7,12187.0,"Family,Fantasy,Horror",0
"1,123",2017.0,2019.0,movie,United Kingdom,English,6.5,6918.0,"Action,Crime,Drama",0
"1,127",2018.0,2020.0,tvSeries,Germany,German,7.6,11082.0,"Action,Crime,Drama",0
"1,132",2015.0,2017.0,tvSeries,United Kingdom,English,7.3,10364.0,"Crime,Drama,Fantasy",0
"1,143",2019.0,2021.0,movie,Thailand,English,5.6,10086.0,"Action,Thriller",0
"1,148",2017.0,2017.0,tvMiniSeries,France,French,7.2,8648.0,"Crime,Drama",0
"1,149",2017.0,2019.0,movie,Canada,English,6.3,12403.0,"Crime,Drama,Mystery",0
"1,150",2017.0,2018.0,tvSeries,United States,English,7.7,7272.0,"Crime,Drama,Western",0
"1,153",2020.0,2022.0,tvSeries,United States,English,7.5,12218.0,"Comedy,Drama,Romance",0
"1,160",2018.0,2018.0,tvSeries,Germany,German,7.1,7562.0,"Drama,Thriller",0
"1,162",2020.0,2022.0,movie,United States,English,5.9,13018.0,"Drama,Fantasy,Thriller",0
"1,165",2019.0,2021.0,movie,United States,English,5.6,11768.0,"Comedy,Romance",0
"1,166",2014.0,2019.0,tvSeries,United States,English,7.9,12542.0,"Adventure,Animation,Comedy",0
"1,168",2011.0,2014.0,tvSeries,France,English,7.8,6177.0,"Biography,Drama,History",0
"1,170",2020.0,2022.0,tvSeries,Germany,German,6.8,6223.0,"Drama,Sci-Fi,Thriller",0
"1,172",2014.0,2016.0,tvSeries,Japan,Japanese,7.9,12035.0,"Action,Adventure,Animation",0
"1,173",2020.0,2022.0,movie,United States,English,5.6,8181.0,"Comedy,Horror",0
"1,174",2018.0,2020.0,movie,United States,English,6.8,14431.0,"Biography,Comedy",0
"1,182",2018.0,2020.0,movie,Israel,English,6.6,12686.0,"Drama,Thriller",0
"1,188",2018.0,2020.0,movie,United States,-,7.0,10458.0,"Adventure,Comedy,Drama",0
"1,190",2016.0,2018.0,tvSeries,United States,-,7.7,6913.0,"Crime,Drama,Mystery",0
"1,196",2020.0,2022.0,movie,Norway,Norwegian,5.1,7774.0,"Drama,Horror,Thriller",0
"1,199",2021.0,2022.0,movie,Turkey,Turkish,6.7,9677.0,Drama,0
"1,201",2019.0,2021.0,movie,France,French,6.9,14701.0,"Action,Adventure,Sci-Fi",0
"1,202",2006.0,2006.0,tvSeries,Japan,Japanese,8.0,12769.0,"Action,Adventure,Animation",0
"1,203",2018.0,2018.0,tvSeries,United States,English,5.9,12013.0,"Drama,Horror,Mystery",0
"1,205",2019.0,2021.0,movie,United Kingdom,English,6.6,12485.0,"Action,Crime",0
"1,208",1984.0,1986.0,tvSeries,United States,English,8.2,6339.0,Game-Show,0
"1,211",2013.0,2015.0,movie,United Kingdom,Latin,5.8,11291.0,"Drama,Romance",0
